entity,board_id,board_name,board_amountKind,board_defaultAmount,board_createdAt,checkin_id,checkin_boardId,checkin_amount,checkin_note,checkin_createdAt
Checkin,,,,,,83BC7161-3405-4E8D-AA69-3B18536FCB22,D087A067-A79A-472D-A1F2-A938EF405886,,,2026-01-19T21:38:11Z
Checkin,,,,,,EAD14B10-F983-4000-B987-10C2BD42D783,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-03-27T13:43:50Z
Checkin,,,,,,79FD01DE-B3DA-469C-B965-C01CE5E8F159,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-06-21T10:52:01Z
Checkin,,,,,,DCC3DCD3-3597-4A6E-876B-54806E821ACA,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-06-05T08:11:57Z
Checkin,,,,,,06D03E36-C6E6-4A5C-87BF-345BC8FC7B9A,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-12-22T09:58:04Z
Checkin,,,,,,458E51CD-AAE9-48C5-8786-7367B2121BFD,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-10-15T14:40:38Z
Checkin,,,,,,B820FE7D-BA3E-4563-B6BE-2E8E2302AE2E,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2024-11-25T15:55:47Z
Checkin,,,,,,B011A583-753E-440C-BE9B-57F782AEED3A,D087A067-A79A-472D-A1F2-A938EF405886,,,2026-01-22T21:17:41Z
Checkin,,,,,,ED1BD4AC-A082-4D69-9578-C176571A0291,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-07-15T18:29:13Z
Checkin,,,,,,37FD1078-724E-43D8-BB08-B01DA6D6D3C7,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-06-09T13:28:00Z
Checkin,,,,,,338DC6DB-EC7D-4DAE-B707-6BC8D8238977,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-09-19T07:36:01Z
Checkin,,,,,,D5116391-2D71-42A9-8684-16CAB700A590,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2026-01-02T07:23:00Z
Checkin,,,,,,CACE36F9-DDBA-42A7-A99F-016A8CC31515,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-11-20T10:01:10Z
Checkin,,,,,,924A3B54-2E49-4912-9621-2F2779EFEDAF,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-11-10T10:09:48Z
Checkin,,,,,,02B290F8-A7EF-4ADC-B031-274707D38E02,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2026-02-07T12:21:26Z
Checkin,,,,,,6EC97875-B32A-4BBC-9048-D1286A897AAF,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-08-13T12:27:32Z
Checkin,,,,,,58A633C4-26B6-47CC-87D5-D93C0905851E,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-07-18T09:02:01Z
Checkin,,,,,,746AC144-24F5-48CC-B22A-1D4618DDC7BD,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-11-29T15:12:21Z
Checkin,,,,,,C06755E0-3443-46DC-8590-9F0CBC3A31D4,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-11-29T15:48:29Z
Checkin,,,,,,5626DF95-9D5B-41D9-9FC6-5E7106881030,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2024-11-01T08:14:47Z
Checkin,,,,,,69DC9544-0DAB-46B5-B28D-A72889E4A8C3,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-10-11T08:48:46Z
Checkin,,,,,,E00500F7-53C7-4F7C-9B9B-29BF9CABD2D1,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-09-05T10:11:59Z
Checkin,,,,,,97C99A91-EA5C-4BDB-B65B-547595739A3E,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-01-29T19:24:25Z
Checkin,,,,,,2517DDAA-74E4-4F7E-AE96-2AB6112F9C23,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-05-26T06:44:25Z
Checkin,,,,,,4A07497A-0BF9-49BD-A354-2D5D2C50772C,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2024-11-10T13:06:13Z
Checkin,,,,,,37DF6082-9A39-4992-B601-19CACFF37C6C,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-09-16T18:04:08Z
Checkin,,,,,,395839F8-F059-4880-8543-BCDF9E6FB507,EBC2D2A4-DDE8-4727-AF5C-DEF5BDA82543,,,2025-11-25T21:18:32Z
Checkin,,,,,,1E8B14F3-28E1-4212-B64E-B102EFE3B84F,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-10-25T10:56:40Z
Checkin,,,,,,9E120325-3676-4346-B2D8-156A1DBC45B1,7C0685D2-5C4C-4D55-9C60-E21C5D8CA51E,10.0,,2025-12-02T21:05:07Z
Checkin,,,,,,BDBE77E1-9C51-4E8C-A3CB-C200FE72DDA2,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-05-14T12:05:59Z
Checkin,,,,,,357F3849-357E-43D7-940B-073A614F8D75,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-07-08T19:38:59Z
Checkin,,,,,,CEF09643-EF59-40DE-8B8F-DCD4B7C20777,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-09-01T04:48:30Z
Checkin,,,,,,8CB64947-CC84-4B5F-93B9-6294BF890B7D,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2024-09-03T03:49:00Z
Checkin,,,,,,D5A4F413-2659-4422-9DB0-E7F26C7BC839,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2024-10-17T14:49:00Z
Checkin,,,,,,A3C41467-AEC4-43D4-BFA6-EFA19104CB36,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2026-01-18T10:14:05Z
Checkin,,,,,,636F35F6-3AE9-4612-AB0E-D62C1FA74C09,88A64468-58B7-4FF6-BD05-27EB1CC47697,15.0,,2026-01-20T20:36:00Z
Checkin,,,,,,A34C48EF-1AAE-4CC1-B4C3-7444F41AACD6,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-07-22T11:25:37Z
Checkin,,,,,,42F987B4-F99D-4474-99C6-E9056BD31952,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-12-26T09:40:50Z
Checkin,,,,,,9B0580EA-7425-4967-84D4-220A649426BB,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-02-07T12:10:06Z
Checkin,,,,,,2F5B6369-D588-4509-82F6-896C88E62656,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-05-27T07:51:08Z
Checkin,,,,,,90921435-2FF3-4B0A-9D9B-5561E0F61D55,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-07-16T13:34:23Z
Checkin,,,,,,70B03849-498B-41EA-BFA3-552897CC407C,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-11-01T22:13:04Z
Checkin,,,,,,A5E0A17C-4363-4E04-87C4-E79AECF564BF,7C0685D2-5C4C-4D55-9C60-E21C5D8CA51E,35.0,,2025-12-15T08:28:40Z
Checkin,,,,,,4A916BEB-7C8B-4080-B392-3F255F09E3DB,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-01-16T16:54:29Z
Checkin,,,,,,4842026D-62E4-4E68-902A-522BD02A5CB1,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-05-13T13:29:00Z
Checkin,,,,,,C931EDAC-F2E0-4A9E-B99A-B6FF1DD6EE56,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-03-14T11:47:01Z
Checkin,,,,,,392A00F6-0075-4A7F-823C-754202B0BD57,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-05-20T08:58:00Z
Checkin,,,,,,DDACAA70-A33E-434F-A34B-A9472AF4D5E6,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-04-16T15:05:55Z
Checkin,,,,,,40789039-8DCE-4F13-9632-22EA8E940CA3,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-02-16T10:12:24Z
Checkin,,,,,,6A3010CD-5389-4136-AE61-0B7A9C82B647,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-05-06T09:34:27Z
Checkin,,,,,,4ED30C87-C345-4497-B4DB-7E3B7FC11780,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-05-08T06:11:15Z
Checkin,,,,,,E14995CE-B545-4D7A-9BF1-30D4829E246D,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2024-11-03T12:09:30Z
Checkin,,,,,,CBAFA58E-AABB-4C51-9093-15DF54FB8D0E,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2024-10-25T20:12:25Z
Checkin,,,,,,F1EB068E-005D-4073-9CFC-92BB823DC869,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-12-08T18:52:52Z
Checkin,,,,,,B639786A-710E-4777-8A74-22261CDF8EC6,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-06-04T08:06:28Z
Checkin,,,,,,2CB7963A-6D80-4919-B087-D8393FFEC792,7C0685D2-5C4C-4D55-9C60-E21C5D8CA51E,10.0,,2025-11-12T19:53:00Z
Checkin,,,,,,1642AD99-CD30-4A75-A4A2-9DEF2C5099AB,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-12-12T07:02:27Z
Checkin,,,,,,7435B399-7AB6-4DA9-A0FC-17B4AB263F33,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-08-16T09:44:00Z
Checkin,,,,,,AA02300A-7411-4EFF-A11A-F895364E45CF,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-05-31T17:01:42Z
Checkin,,,,,,D9A2DF35-B632-438F-A0A3-FA44A57C76E9,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2024-10-18T13:00:47Z
Checkin,,,,,,B42C7281-72E6-404D-B16B-05B53EFCDDD1,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2026-01-29T13:56:16Z
Checkin,,,,,,828C3BE5-8E6E-45B2-9B89-8BAAF42CA1DD,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-12-31T22:01:34Z
Checkin,,,,,,6C4DE1BD-FD65-41BA-A800-A6EB932663A8,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-11-14T15:59:59Z
Checkin,,,,,,5BADB2D0-334E-4B3C-BCAF-133D0BD3AD2B,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2024-08-15T12:29:00Z
Checkin,,,,,,A9B7C0A2-32EC-4F62-B8F5-7CD8614D3605,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-10-10T10:07:44Z
Checkin,,,,,,EDE32A96-6B00-458B-B6E5-457A264E2D1E,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-09-29T15:19:00Z
Checkin,,,,,,8A6C30FA-4DD6-4384-97D2-2BBE241125FF,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-12-15T12:15:50Z
Checkin,,,,,,E07B754C-E2E5-4599-A756-F0C506E802C7,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2024-10-02T12:37:16Z
Checkin,,,,,,50C19C98-EC8B-403B-8F21-C9F5A2E4A1A5,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-12-22T13:28:40Z
Checkin,,,,,,4CD6BF8A-EEB9-40DC-804A-0B52750CB519,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-11-01T11:11:40Z
Checkin,,,,,,9A32D204-C403-4EDC-9995-71F6D46E3DF9,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-01-11T09:00:29Z
